age,Country,employment_status,employment_status_1,employment_status_2,employment_status_3,employment_status_4,employment_status_5,employment_status_6,employment_status_7,gender,household_children,household_size,vac_1,vac_3,vac2_1,vac2_2,vac2_3,vac2_6
18,australia.csv,Full time employment,,,,,,,,Female,2,5,5 – Strongly disagree,3,1 - Strongly agree,1 - Strongly agree,3,3
18,australia.csv,Not working,,,,,,,,Female,1,4,2,1 - Strongly agree,2,2,1 - Strongly agree,1 - Strongly agree
18,australia.csv,Retired,,,,,,,,Male,1,4,5 – Strongly disagree,5 – Strongly disagree,2,1 - Strongly agree,4,5 – Strongly disagree
18,australia.csv,Unemployed,,,,,,,,Female,1,4,1 - Strongly agree,1 - Strongly agree,2,3,2,2
18,australia.csv,Unemployed,,,,,,,,Female,2,4,3,1 - Strongly agree,4,3,2,1 - Strongly agree
18,canada.csv,Full time employment,,,,,,,,Female,1,4,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,canada.csv,Full time employment,,,,,,,,Female,1,5,5 – Strongly disagree,5 – Strongly disagree,5 – Strongly disagree,1 - Strongly agree,5 – Strongly disagree,5 – Strongly disagree
18,canada.csv,Full time employment,,,,,,,,Male,0,2,5 – Strongly disagree,2,3,2,1 - Strongly agree,3
18,canada.csv,Full time student,,,,,,,,Female,,5,3,2,2,1 - Strongly agree,2,1 - Strongly agree
18,canada.csv,Full time student,,,,,,,,Female,0,3,4,3,3,1 - Strongly agree,4,3
18,canada.csv,Full time student,,,,,,,,Female,0,4,1 - Strongly agree,1 - Strongly agree,3,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,canada.csv,Full time student,,,,,,,,Female,0,Don't know,3,3,5 – Strongly disagree,2,5 – Strongly disagree,1 - Strongly agree
18,canada.csv,Full time student,,,,,,,,Female,0,Prefer not to say,3,2,2,2,2,4
18,canada.csv,Full time student,,,,,,,,Female,1,3,1 - Strongly agree,1 - Strongly agree,1 - Strongly agree,5 – Strongly disagree,1 - Strongly agree,1 - Strongly agree
18,canada.csv,Full time student,,,,,,,,Female,2,5,1 - Strongly agree,1 - Strongly agree,2,3,1 - Strongly agree,1 - Strongly agree
18,canada.csv,Full time student,,,,,,,,Female,2,5,1 - Strongly agree,1 - Strongly agree,2,5 – Strongly disagree,3,2
